video_id,question,slug
1,Do you experience itching during ruqya?,
2,Do you have involuntary body movements?,
3,Do you cry or tear up without reason?,
4,Do you yawn repeatedly during ruqya?,
5,Do you dream of snakes?,
6,Do you dream of animals attacking you?,
7,Do you dream of falling from high places?,
8,Do you wake up at night between 2–3 AM?,
9,Do you feel pressure on your chest?,
10,Do you feel something moving inside your body?,
11,Do you struggle during prayer or focusing?,
12,Do you have sleep paralysis?,
13,Do you experience sudden sadness or fear?,
14,Do you react strongly to Ayat Al Kursi?,
15,Do you react to Surat Al Baqarah?,
16,Do you feel worse when listening to ruqya?,
17,"What helped you most — Qur'anic water, oil, or self-ruqya?",
18,Do your symptoms suddenly get worse at night?,
19,Do you feel targeted or spiritually attacked?,
20,Do your symptoms appear after conflict with someone?,
21,Do you feel sudden heat during ruqya?,
22,Do you feel sudden cold during ruqya?,
23,Do your hands or feet become numb during ruqya?,
24,Do you feel tingling sensations in your body?,
25,Do you feel a headache during or after ruqya?,
26,Do you feel heaviness in your limbs?,
27,Do you feel dizzy when listening to ruqya?,
28,Do you feel like you can’t breathe deeply during ruqya?,
29,Do you experience nausea while listening to ruqya?,
30,Do certain verses make you emotional?,
31,Do you feel sudden anger when reciting or listening?,
32,Do you feel your thoughts “block” during prayer?,
33,Do you experience repeated intrusive thoughts during worship?,
34,Do you avoid ruqya or recitation without knowing why?,
35,Do you feel intense restlessness during recitation?,
36,Do you feel tingling or pressure in your head during recitation?,
37,Do you suddenly feel sleepy during ruqya?,
38,Do you feel your heart race when listening to specific verses?,
39,Do certain dreams repeat often?,
40,Do you experience sudden discomfort around certain people?,
41,Do your symptoms change depending on the time of day?,
42,Do your symptoms get stronger when alone versus with others?,
43,Do you experience unusual sensations when hearing Qur’an audio?,
44,Do your symptoms decrease after prayer or increase?,
45,Do your symptoms appear more when you’re stressed?,
46,Do you notice patterns connected to your sleep cycle?,
47,Do you feel physical tension when you start reciting?,
48,"Do you experience emotional release (crying, anger, relief)",
49,Do you feel mentally confused during or after ruqya?,
50,Do you feel unexplained heaviness in your home environment?,
,Do you feel sudden tightness in your throat during ruqya?,
,Do your eyes tear up when Qur’an is recited near you?,
,Do you feel sudden irritability during prayer?,
,Do you feel something “pulling” your attention away from recitation?,
,Do you experience sudden sharp pains during ruqya?,
,Do you feel unexplained fear when you begin reciting ruqya?,
,Do you find it difficult to complete Surat Al-Baqarah?,
,Do you experience shaking or trembling during ruqya?,
,Do you feel pressure on your head while listening to Qur’an?,
,Do you feel heaviness between your eyebrows?,
,Do you experience sudden sweating during ruqya?,
,Do you feel sudden chills while reciting?,
,Do you hear internal whispers during worship?,
,Do you feel overwhelmed emotionally during certain verses?,
,Do you feel sudden mood swings during or after ruqya?,
,Do you feel your body stiffen when you begin reciting?,
,Do you feel your legs become heavy or difficult to move?,
,Do you feel unexplained fatigue right before starting ruqya?,
,Do you feel discomfort when hearing verses about protection?,
,Do you avoid certain surahs without knowing why?,
,Do you feel your heart beating irregularly during ruqya?,
,Do you have nightmares after listening to ruqya audio?,
,Do you feel a presence around you during recitation?,
,Do you feel pressure in your stomach during ruqya?,
,Do you feel nauseous when reciting morning adhkar?,
,Do you feel sudden urges to stop ruqya?,
,Do you feel weak in your hands while listening?,
,Do you feel sudden anger toward the ruqya reciter?,
,Do you struggle to read Qur’an for more than a few minutes?,
,Do you experience forgetfulness specifically during prayer?,
,Do your eyelids flutter involuntarily during ruqya?,
,Do you have dreams of chasing or being chased?,
,Do you feel exhausted upon waking despite long sleep?,
,Do you feel your body becomes unusually heavy during prayer?,
,Do you feel pins-and-needles sensations when reciting?,
,Do you feel drained or depleted after ruqya sessions?,
,Do you feel your mood deteriorates after listening to Qur’an?,
,Do you feel an internal resistance when attempting dhikr?,
,Do your symptoms intensify during Jumu’ah prayer?,
,Do you feel sudden pressure on your back during ruqya?,
,Do you feel internal vibrations when listening to surahs?,
,Do your joints ache specifically during ruqya?,
,Do you sense unusual discomfort at Maghrib time?,
,Do you feel sudden emotional numbness during recitation?,
,Do you feel worse in darkness than in light?,
,Do you avoid certain rooms in your home without reason?,
,Do you feel your body temperature change suddenly during ruqya?,
,Do your hands twitch when touching Qur’anic water or oil?,
,Do you feel something “shift” inside your body during ruqya?,
,Do you feel your breathing become shallow during recitation?,
,Do you experience ringing in your ears during ruqya?,
,Do you feel sudden sadness after completing prayer?,
,Do you feel tension in the neck or shoulders during ruqya?,
,Do you feel mentally foggy when trying to memorize Qur’an?,
,Do you have recurring dreams of being followed?,
,Do your symptoms intensify during emotional stress?,
,Do you feel pressure on your lower back during ruqya?,
,Do you feel discomfort when hearing verses about tawheed?,
,Do you feel dizzy when someone recites Qur’an near you?,
,Do you experience sudden weakness in your voice during ruqya?,
,Do you feel random jolts or spasms in your muscles?,
,Do you feel an overwhelming urge to cry at specific verses?,
,Do you feel more symptoms at night than during daytime?,
,Do you have trouble concentrating when listening to surahs?,
,Do you feel sudden fear of being alone after ruqya?,
,Do you feel your body resisting movement during prayer?,
,Do you feel light-headed when doing dhikr?,
,Do you feel a “wave” of heaviness when ruqya begins?,
,Do you experience sudden negativity toward worship?,
,Do you feel spiritually disconnected despite trying to improve?,
,Do your symptoms disappear temporarily after prayer?,
,Do your symptoms intensify during important religious days?,
,Do you feel a crawling sensation on your skin during ruqya?,
,Do you feel a burning sensation in certain body parts?,
,Do your dreams become more vivid after listening to Qur’an?,
,Do you feel your thoughts racing during ruqya?,
,Do you feel your limbs feel cold even in warm environments?,
,Do you feel resistance when trying to fast?,
,Do you feel uneasy when entering mosques?,
,Do you experience sudden emotional outbursts during worship?,
,Do you feel isolated or withdrawn without explanation?,
,Do you feel agitation when someone recites Ruqyah Shariah near you?,
,Do you feel uncomfortable with Quranic recitation played in the home?,
,Do you feel sudden fatigue during night prayers?,
,Do you feel your thoughts become cloudy when reciting?,
,Do you feel unexplained discomfort when hearing Surah Al-Falaq?,
,Do you feel restless when trying to sleep after ruqya?,
,Do you feel discomfort specifically in your head during ayat of sihr?,
,Do you feel a knot or heaviness in your stomach during ruqya?,
,Do you feel spiritually “blocked” when trying to make dua?,
,Do you feel sudden shivering during recitation?,
,Do you experience difficulty reciting verses you usually know?,
,Do you feel overwhelmed by negative thoughts during prayer?,
,Do you feel like giving up worship without reason?,
,Do you feel tension in the jaw or teeth grinding during ruqya?,
,Do you wake up with a racing heartbeat after nightmares?,
,Do you feel heaviness specifically on the shoulders?,
,Do you feel sudden discomfort during verses about punishment?,
,Do you feel your mood shift dramatically during ruqya sessions?,
,Do you feel unseen pressure or heaviness in your home at certain times?,
,Do you feel sudden stiffness in your neck during ruqya?,
,Do your shoulders tense up when you hear Qur’an?,
,Do you feel pressure on your temples during recitation?,
,Do you feel sudden weakness in your knees during ruqya?,
,Do your fingers twitch involuntarily while listening?,
,Do you feel heaviness on your right side during ruqya?,
,Do you feel heaviness on your left side during ruqya?,
,Do you feel a sudden urge to move or shift your body?,
,Do you experience trembling in your legs during recitation?,
,Do you feel tightness in your jaw or face during ruqya?,
,Do you feel your throat dry out unexpectedly?,
,Do you feel like your chest is expanding unnaturally?,
,Do you feel a burning sensation in your arms?,
,Do you feel sharp pinches in random areas of your body?,
,Do you feel pressure behind your eyes during ruqya?,
,Do you feel your heart slow down suddenly?,
,Do you experience sudden episodes of shaking?,
,Do you feel a magnetic pull toward the ground?,
,Do you feel sudden weakness in your wrists?,
,Do your feet feel unusually cold during ruqya?,
,Do you experience sudden tightness in your abdomen?,
,Do you feel as if your body becomes heavier the longer the recitation continues?,
,Do you feel your breathing becomes loud or strained?,
,Do you feel sudden pain in your lower stomach?,
,Do you feel involuntary stretching or pulling in your muscles?,
,Do you feel sudden warmth spreading through your legs?,
,Do you feel numbness in your back during ruqya?,
,Do you experience sudden hiccups or burping during recitation?,
,Do you feel a knot forming in your throat?,
,Do you feel unnatural heat around your head?,
,Do you feel overwhelmed by emotions when reciting alone?,
,Do you feel hopelessness during specific verses?,
,Do you feel sudden emotional detachment during prayer?,
,Do you feel unexpected guilt during ruqya?,
,Do you feel unusual sensitivity to loud Qur’an recitation?,
,Do you feel sudden bursts of sadness during dhikr?,
,Do you feel mentally blocked when trying to read Qur’an?,
,Do you feel uncomfortable receiving religious advice?,
,Do you feel sudden shame when you begin ruqya?,
,Do you feel emotionally unstable after ruqya sessions?,
,Do you feel irritation at religious reminders?,
,Do you feel unwillingness to continue recitation suddenly?,
,Do you feel emotionally drained for hours afterward?,
,Do you feel sudden confusion during important verses?,
,Do you feel an urge to cry but can’t?,
,Do you feel your thoughts become scattered during worship?,
,Do you feel emotionally calm but physically restless?,
,Do you feel sudden panic when the reciter raises their voice?,
,Do you feel uneasy when someone mentions ruqya?,
,Do you feel significant relief after crying during recitation?,
,Do you dream about dark rooms or staircases?,
,Do you dream of someone watching you?,
,Do you dream of being trapped somewhere?,
,Do you dream of dead people speaking to you?,
,Do you dream of losing your belongings?,
,Do you dream of fighting unknown beings?,
,Do you dream of someone trying to choke you?,
,Do you dream of drowning or being underwater?,
,Do you dream of insects surrounding you?,
,Do you dream of shadows or unseen figures?,
,Do you dream of old houses or ruins?,
,Do you dream of fire or burning places?,
,Do you dream of being chased by invisible forces?,
,Do you dream of strange symbols or writings?,
,Do you dream of flying uncontrollably?,
,Do you dream of falling asleep inside your dream?,
,Do you dream of repeating scenarios nightly?,
,Do you dream of animals staring at you?,
,Do you dream of someone calling your name?,
,Do you dream of dark water or oceans?,
,Do you feel disconnected from worship without reason?,
,Do you struggle to keep focus during long surahs?,
,Do you feel your iman fluctuating drastically during ruqya?,
,Do you feel spiritually numb in moments of worship?,
,Do you feel blocked when trying to seek forgiveness?,
,Do you feel no motivation to engage in religious activities?,
,Do you suddenly forget common duas during ruqya?,
,Do you feel internal resistance to reciting morning adhkar?,
,Do you avoid reading the last two surahs before sleeping?,
,Do you feel compelled to delay prayer without reason?,
,Do you feel discomfort at the sound of the adhan?,
,Do you feel spiritual heaviness when entering certain places?,
,Do you feel doubt creeping in during recitation?,
,Do you feel distant from Allah despite trying to get closer?,
,Do you feel unusually tired when attempting qiyam?,
,Do you feel sudden frustration while reading tafsir?,
,Do you experience spiritual emptiness after long prayers?,
,Do you feel a sudden drop in motivation to do good deeds?,
,Do you feel blocked from memorizing Qur’an?,
,Do you feel spiritually unstable throughout the day?,
,Do you feel heaviness when entering your own room?,
,Do you sense something watching you when alone?,
,Do you feel uncomfortable sitting in darkness?,
,Do you feel sudden coldness in specific areas of your home?,
,Do you hear unusual sounds when reciting?,
,Do you feel unsettled in empty places?,
,Do you sense something moving in the house at night?,
,Do you smell strange odors during ruqya that others don’t?,
,Do you feel your symptoms intensify in certain rooms?,
,Do you feel uneasy sitting with your back exposed?,
,Do you sense heaviness when entering someone else’s home?,
,Do you feel discomfort when reciting near mirrors?,
,Do you feel anxious when the house becomes quiet?,
,Do you feel your symptoms worsen at sunset?,
,Do you feel sudden heaviness when switching off lights?,
,Do you feel uneasy hearing wind or rustling sounds?,
,Do you feel spiritually drained after visiting certain people?,
,Do you feel your home atmosphere changes at night?,
,Do you feel relieved when you leave your house?,
,Do you avoid certain areas of your home instinctively?,
,Do you procrastinate prayer without reason?,
,Do you become aggressive when pressured to do ruqya?,
,Do you lose concentration whenever you try to memorize Qur’an?,
,Do you become easily irritated during worship?,
,Do you feel restless and unable to sit still during ruqya?,
,Do you feel your mind drift away during dua?,
,Do you forget what you were reciting mid-ayah?,
,Do you feel unable to control your thoughts during prayer?,
,Do you experience unusual mental fatigue after reciting?,
,Do you get easily distracted when listening to Qur’an?,
,Do you feel emotionally detached during family ruqya sessions?,
,Do you feel mentally drained at the mention of ruqya?,
,Do you feel uncomfortable discussing spiritual issues?,
,Do you feel sudden resistance when someone advises you to pray?,
,Do you feel overwhelmed by religious gatherings?,
,Do you feel annoyed by Qur’an played at home?,
,Do you feel unable to sit through long recitations?,
,Do you feel mentally blank during Qur’an recitation?,
,Do you feel unusual forgetfulness after praying?,
,Do you feel irritated when others recite around you?,
,Do you feel sudden vibrations in your stomach?,
,Do you feel a crawling sensation inside your legs?,
,Do you feel pressure at the base of your skull?,
,Do you feel sudden fatigue after a few verses?,
,Do your hands shake when you hold the mushaf?,
,Do you feel sharp chest pains during certain surahs?,
,Do you feel sudden sweating in your palms?,
,Do you feel prickling sensations along your spine?,
,Do you feel your shoulders drop involuntarily during ruqya?,
,Do you feel abnormal pressure on your ribcage?,
,Do you feel unexplained back pain during recitation?,
,Do you feel sudden tension in your hips during ruqya?,
,Do you feel tingling at the top of your head?,
,Do you feel your body feel lighter after certain verses?,
,Do you feel your eyes become heavy but mind alert?,
,Do you feel your heartbeat echo inside your ears?,
,Do you feel sudden tension in your ankles?,
,Do you feel a cold wave move through your body?,
,Do you feel pressure on your scalp during recitation?,
,Do you feel sudden dizziness when ayat of sihr are recited?,
,Do you react differently when Surah Al-Falaq is recited?,
,Do you react strongly to verses about jinn?,
,Do you feel pressure during verses on magic?,
,Do you feel uncomfortable during ayat about shirk?,
,Do you feel changes when reciting Ayat Al-Kursi repeatedly?,
,Do you feel your symptoms rise during Surah Al-Jinn?,
,Do you feel discomfort during verses on punishment?,
,Do you feel your heartbeat increase during Surah Yaseen?,
,Do you feel uneasiness during Surah Al-Mu’minun?,
,Do you feel strong reactions to verses about du’a?,
,Do you feel your body tense during Surah Ar-Rahman?,
,Do you feel relief during Surah Al-Fatiha?,
,Do certain ayat trigger emotional reactions?,
,Do certain surahs make you sleepy immediately?,
,Do repeated verses cause different reactions each time?,
,Do long surahs exhaust you faster?,
,Do you struggle more with specific surahs than others?,
,Do you feel discomfort hearing Surat As-Saffat?,
,Do verses about angels make you emotional?,
,Do verses about the unseen world trigger fear?,
,Do your symptoms increase during stress?,
,Do you feel sudden sadness without cause?,
,Do you feel heaviness specifically in the evenings?,
,Do you feel uneasy around certain individuals?,
,Do you feel fatigued without physical reason?,
,Do you feel sudden mood drops during the day?,
,Do you feel unexpectedly irritable after waking up?,
,Do you feel pressure in crowded places?,
,Do you feel your energy drain after specific conversations?,
,Do you feel uncomfortable staying alone at night?,
,Do you feel sudden fear before sleeping?,
,Do you feel your body twitching before falling asleep?,
,Do you feel your heart race suddenly while resting?,
,Do you feel your mind wandering to negative thoughts?,
,Do you feel bursts of anxiety during calm moments?,
,Do you feel mentally unsettled after arguments?,
,Do you feel your energy decrease in certain environments?,
,Do your symptoms worsen after being angry?,
,Do you feel mentally quieter after performing ruqya?,
,Do your symptoms intensify when you feel overwhelmed?,
,Do you feel different reactions depending on who recites ruqya?,
,Do you feel pressure when holding Zamzam water?,
,Do you feel uncomfortable touching ruqya oil?,
,Do you feel calmer during recitation but worse afterward?,
,Do you feel sudden chest expansion during dhikr?,
,Do you feel emotional release after long recitations?,
,Do you feel resistance specifically to morning recitation?,
,Do you feel your symptoms move around your body?,
,Do your symptoms shift when someone else enters the room?,
,Do your symptoms decrease when the Qur’an plays all night?,